"","X","h_hotelid","h_in_page","hotel_name","hotel_loc","h_dist_centro","h_dist_praia","h_num_stars","h_num_comments","h_prices","h_peq_almoco","h_canc_gratuito","h_quartos_restantes","h_score_medio"
"1",1,97414,0,"Rio Othon Palace"," Copacabana","8 km do centro"," Em frente à praia",5,"4 231","€ 86",1,1,"0","7,9"
"2",2,11977,0,"Pestana Rio Atlantica"," Copacabana","8 km do centro"," Em frente à praia",4,"2 367","€ 65",1,1,"0","7,0"
"3",3,97416,0,"Olinda Rio Hotel"," Copacabana","7 km do centro"," Em frente à praia",4,"1 986","€ 52",1,1,"0","8,7"
"4",4,14984,0,"Royal Rio Palace Hotel"," Copacabana","7 km do centro"," A 900 m da praia",4,"2 830","€ 43",1,1,"0","8,3"
"5",5,1514467,0,"Hotel Atlantico Prime"," Centro do Rio de Janeiro","1,6 km do centro"," A 2,3 km da praia",4,"17 042","€ 20",1,1,"0","7,7"
"6",6,304101,0,"Hotel Atlantico Tower"," Centro do Rio de Janeiro","200 m do centro","",4,"11 970","€ 15",1,1,"0","7,4"
"7",7,189003,0,"Belmond Copacabana Palace"," Copacabana","7 km do centro"," Em frente à praia",5,"758","€ 251",1,1,"0","9,3"
"8",8,23345,0,"Hotel Astoria Palace"," Copacabana","7 km do centro"," Em frente à praia",4,"3 838","€ 49",1,1,"1","8,3"
"9",9,1629682,0,"Grand Hyatt Rio de Janeiro"," Barra da Tijuca","23 km do centro"," Em frente à praia",5,"1 584","€ 142",0,0,"0","8,8"
"10",10,822678,0,"Hotel Atlântico Rio"," Copacabana","8 km do centro"," A 700 m da praia",4,"9 124","€ 36",1,1,"0","8,1"
"11",11,1668072,0,"Ibis Copacabana Posto 2"," Copacabana","7 km do centro"," A 950 m da praia",3,"1 313","€ 28",0,0,"0","8,2"
"12",12,258125,0,"Hotel Atlantico Praia"," Copacabana","7 km do centro"," Em frente à praia",4,"5 675","€ 37",1,1,"1","7,5"
"13",13,17313,0,"PortoBay Rio de Janeiro"," Copacabana","7 km do centro"," Em frente à praia",4,"1 630","€ 84",0,0,"0","8,9"
"14",14,1751908,0,"Hotel Nacional Rio de Janeiro"," São Conrado","13 km do centro"," Em frente à praia",5,"1 212","€ 58",1,1,"0","8,7"
"15",15,1389961,0,"Windsor Marapendi"," Barra da Tijuca","21 km do centro"," Em frente à praia",5,"3 087","€ 84",1,1,"0","8,9"
"16",16,1445913,0,"Novotel Rio De Janeiro Barra Da Tijuca"," Barra da Tijuca","21 km do centro"," Em frente à praia",4,"624","€ 62",0,0,"0","8,4"
"17",17,19468,0,"Miramar Hotel by Windsor"," Copacabana","8 km do centro"," Em frente à praia",5,"2 113","€ 104",0,0,"0","9,2"
"18",18,252003,0,"Mirador Rio Copacabana Hotel"," Copacabana","7 km do centro"," A 800 m da praia",4,"2 130","€ 38",1,1,"0","8,6"
"19",19,1267507,0,"Hotel Fasano Rio de Janeiro"," Ipanema","9 km do centro"," Em frente à praia",5,"356","€ 297",0,0,"0","9,0"
"20",20,11825,0,"Fairmont Rio de Janeiro Copacabana"," Copacabana","9 km do centro"," Em frente à praia",5,"373","€ 202",0,0,"0","9,0"
"21",21,1790770,0,"Casa Nova Hotel"," Centro do Rio de Janeiro","1,6 km do centro"," A 2 km da praia",4,"4 063","€ 25",1,1,"0","8,4"
"22",22,2254255,0,"Ibis Budget RJ Copacabana"," Copacabana","8 km do centro"," A 450 m da praia",2,"2 772","€ 26",0,0,"0","8,4"
"23",23,49770,0,"Sheraton Grand Rio Hotel & Resort"," Leblon","11 km do centro"," Em frente à praia",5,"1 343","€ 133",0,1,"0","8,6"
"24",24,189034,0,"Sol Ipanema Hotel"," Ipanema","9 km do centro"," Em frente à praia",4,"1 349","€ 88",1,1,"0","8,4"
"25",25,15744,0,"Real Palace Hotel"," Copacabana","7 km do centro"," A 850 m da praia",4,"2 154","€ 33",1,1,"0","8,1"
"26",26,1796621,1,"Ritz Copacabana Boutique Hotel"," Copacabana","8 km do centro"," A 400 m da praia",4,"1 387","€ 60",1,1,"0","8,8"
"27",27,1380312,1,"Prodigy Santos Dumont"," Centro do Rio de Janeiro","2 km do centro"," A 1,6 km da praia",4,"2 813","€ 75",1,1,"1","8,5"
"28",28,2004354,1,"Emiliano Rio"," Copacabana","9 km do centro"," Em frente à praia",5,"225","€ 289",0,0,"0","9,3"
"29",29,1176769,1,"Vila Galé Rio de Janeiro"," Centro do Rio de Janeiro","1,6 km do centro"," A 2,1 km da praia",4,"2 739","€ 52",1,1,"0","8,8"
"30",30,718131,1,"Ibis Rio de Janeiro Santos Dumont"," Centro do Rio de Janeiro","1,3 km do centro"," A 2,2 km da praia",3,"2 185","€ 34",0,0,"0","8,1"
"31",31,14715,1,"Hotel Vermont Ipanema"," Ipanema","9 km do centro"," A 400 m da praia",3,"1 536","€ 42",1,1,"0","8,4"
"32",32,1296122,1,"Américas Barra Hotel"," Barra da Tijuca","26 km do centro"," A 1,8 km da praia",4,"5 738","€ 39",1,1,"0","7,7"
"33",33,19293,1,"Windsor Barra Hotel"," Barra da Tijuca","19 km do centro"," Em frente à praia",5,"2 163","€ 94",1,1,"0","8,8"
"34",34,97415,1,"Windsor California Hotel"," Copacabana","8 km do centro"," Em frente à praia",4,"2 440","€ 81",0,0,"0","9,2"
"35",35,246421,1,"Hotel Arpoador"," Ipanema","9 km do centro"," Em frente à praia",4,"826","€ 118",1,1,"1","9,1"
"36",36,1709001,1,"Ramada Encore by Wyndham Rio de Janeiro Ribalta"," Barra da Tijuca","26 km do centro"," A 2,1 km da praia",3,"3 254","€ 35",1,1,"0","8,2"
"37",37,1891329,1,"Hotel Atlântico Travel Copacabana"," Copacabana","7 km do centro"," A 600 m da praia",4,"6 171","€ 26",1,1,"1","8,0"
"38",38,1802378,1,"ibis Copacabana Posto 5"," Copacabana","8 km do centro"," A 550 m da praia",3,"1 509","€ 39",0,0,"0","8,4"
"39",39,189437,1,"Arena Copacabana Hotel"," Copacabana","7 km do centro"," Em frente à praia",4,"896","€ 59",1,1,"1","8,7"
"40",40,15853,1,"B&B Hotels Rio Copacabana Forte"," Copacabana","9 km do centro"," A 250 m da praia",3,"1 925","€ 25",0,0,"0","8,1"
"41",41,1655458,1,"CDesign Hotel"," Recreio dos Bandeirantes","32 km do centro"," A 150 m da praia",4,"3 701","€ 61",1,1,"0","8,5"
"42",42,1769990,1,"Arena Ipanema Hotel"," Ipanema","9 km do centro"," A 150 m da praia",4,"1 517","€ 60",1,1,"1","8,8"
"43",43,1713387,1,"Best Western Premier Arpoador Fashion Hotel"," Ipanema","9 km do centro"," A 500 m da praia",4,"1 015","€ 59",1,1,"1","8,6"
"44",44,17968,1,"Hotel Nacional Inn Copacabana"," Copacabana","6 km do centro"," A 700 m da praia",3,"804","€ 33",1,1,"0","8,5"
"45",45,252326,1,"Hotel Pouso Real"," Centro do Rio de Janeiro","1,4 km do centro"," A 2,2 km da praia",3,"4 555","€ 13",1,1,"0","7,7"
"46",46,1385819,1,"Arena Leme Hotel"," Leme","6 km do centro"," Em frente à praia",4,"887","€ 49",1,1,"0","8,8"
"47",47,23335,1,"Hotel Bandeirantes"," Copacabana","7 km do centro"," A 600 m da praia",3,"2 825","€ 24",1,1,"1","8,1"
"48",48,1713389,1,"Vogue Square Fashion Hotel by Lenny Niemeyer"," Barra da Tijuca","24 km do centro"," A 2,7 km da praia",4,"1 444","€ 48",1,1,"0","8,7"
"49",49,1714741,1,"Best Western Plus Copacabana Design Hotel"," Copacabana","7 km do centro"," A 1 km da praia",3,"1 020","€ 36",1,1,"0","8,6"
