"","X.1","X","h_hotelid","h_in_page","hotel_name","hotel_loc","h_dist_centro","h_dist_praia","h_num_stars","h_num_comments","h_prices","h_peq_almoco","h_canc_gratuito","h_quartos_restantes","h_score_medio","zona_central","zona_oeste","zona_sul"
"1",1,1,97414,0,"Rio Othon Palace"," Copacabana",8,0,5,4231,86,1,1,0,7.9,0,0,1
"2",2,2,11977,0,"Pestana Rio Atlantica"," Copacabana",8,0,4,2367,65,1,1,0,7,0,0,1
"3",3,3,97416,0,"Olinda Rio Hotel"," Copacabana",7,0,4,1986,52,1,1,0,8.7,0,0,1
"4",4,4,14984,0,"Royal Rio Palace Hotel"," Copacabana",7,0.9,4,2830,43,1,1,0,8.3,0,0,1
"5",5,5,1514467,0,"Hotel Atlantico Prime"," Centro do Rio de Janeiro",1.6,2.3,4,17042,20,1,1,0,7.7,1,0,0
"6",6,6,304101,0,"Hotel Atlantico Tower"," Centro do Rio de Janeiro",0.2,NA,4,11970,15,1,1,0,7.4,1,0,0
"7",7,7,189003,0,"Belmond Copacabana Palace"," Copacabana",7,0,5,758,251,1,1,0,9.3,0,0,1
"8",8,8,23345,0,"Hotel Astoria Palace"," Copacabana",7,0,4,3838,49,1,1,1,8.3,0,0,1
"9",9,9,1629682,0,"Grand Hyatt Rio de Janeiro"," Barra da Tijuca",23,0,5,1584,142,0,0,0,8.8,0,1,0
"10",10,10,822678,0,"Hotel Atlântico Rio"," Copacabana",8,0.7,4,9124,36,1,1,0,8.1,0,0,1
"11",11,11,1668072,0,"Ibis Copacabana Posto 2"," Copacabana",7,0.95,3,1313,28,0,0,0,8.2,0,0,1
"12",12,12,258125,0,"Hotel Atlantico Praia"," Copacabana",7,0,4,5675,37,1,1,1,7.5,0,0,1
"13",13,13,17313,0,"PortoBay Rio de Janeiro"," Copacabana",7,0,4,1630,84,0,0,0,8.9,0,0,1
"14",14,14,1751908,0,"Hotel Nacional Rio de Janeiro"," São Conrado",13,0,5,1212,58,1,1,0,8.7,0,0,1
"15",15,15,1389961,0,"Windsor Marapendi"," Barra da Tijuca",21,0,5,3087,84,1,1,0,8.9,0,1,0
