"","X.3","X.2","X.1","X","h_hotelid","h_in_page","hotel_name","hotel_loc","h_dist_centro","h_dist_praia","h_num_stars","h_num_comments","h_prices","h_peq_almoco","h_canc_gratuito","h_quartos_restantes","h_score_medio","zona_central","zona_oeste","zona_sul"
"1",1,1,1,1,97414,0,"Rio Othon Palace"," Copacabana",2.07944154167984,0,5,8.35019365072007,4.45434729625351,1,1,0,7.9,0,0,1
"2",2,2,2,2,11977,0,"Pestana Rio Atlantica"," Copacabana",2.07944154167984,0,4,7.76937860951398,4.17438726989564,1,1,0,7,0,0,1
"3",3,3,3,3,97416,0,"Olinda Rio Hotel"," Copacabana",1.94591014905531,0,4,7.59387784460512,3.95124371858143,1,1,0,8.7,0,0,1
"4",4,4,4,4,14984,0,"Royal Rio Palace Hotel"," Copacabana",1.94591014905531,0.9,4,7.94803199063728,3.76120011569356,1,1,0,8.3,0,0,1
"5",5,5,5,5,1514467,0,"Hotel Atlantico Prime"," Centro do Rio de Janeiro",0.470003629245736,2.3,4,9.7434361643879,2.99573227355399,1,1,0,7.7,1,0,0
"6",6,6,6,6,304101,0,"Hotel Atlantico Tower"," Centro do Rio de Janeiro",0.0953101798043249,1.75,4,9.39015879855202,2.70805020110221,1,1,0,7.4,1,0,0
"7",7,7,7,7,189003,0,"Belmond Copacabana Palace"," Copacabana",1.94591014905531,0,5,6.63068338564237,4.93439702826822,1,1,0,9.3,0,0,1
"8",8,8,8,8,23345,0,"Hotel Astoria Palace"," Copacabana",1.94591014905531,0,4,8.25270667656764,3.89182029811063,1,1,1,8.3,0,0,1
"9",9,9,9,9,1629682,0,"Grand Hyatt Rio de Janeiro"," Barra da Tijuca",3.13549421592915,0,5,7.36770857237437,4.95582705760126,0,0,0,8.8,0,1,0
"10",10,10,10,10,822678,0,"Hotel Atlântico Rio"," Copacabana",2.07944154167984,0.7,4,9.11866358340428,3.58351893845611,1,1,0,8.1,0,0,1
"11",11,11,11,11,1668072,0,"Ibis Copacabana Posto 2"," Copacabana",1.94591014905531,0.95,3,7.1800698743028,3.3322045101752,0,0,0,8.2,0,0,1
"12",12,12,12,12,258125,0,"Hotel Atlantico Praia"," Copacabana",1.94591014905531,0,4,8.6438258423496,3.61091791264422,1,1,1,7.5,0,0,1
"13",13,13,13,13,17313,0,"PortoBay Rio de Janeiro"," Copacabana",1.94591014905531,0,4,7.39633529380081,4.43081679884331,0,0,0,8.9,0,0,1
"14",14,14,14,14,1751908,0,"Hotel Nacional Rio de Janeiro"," São Conrado",2.56494935746154,0,5,7.10002716662926,4.06044301054642,1,1,0,8.7,0,0,1
"15",15,15,15,15,1389961,0,"Windsor Marapendi"," Barra da Tijuca",3.04452243772342,0,5,8.03495502450216,4.43081679884331,1,1,0,8.9,0,1,0
"16",16,16,16,16,1445913,0,"Novotel Rio De Janeiro Barra Da Tijuca"," Barra da Tijuca",3.04452243772342,0,4,6.43615036836943,4.12713438504509,0,0,0,8.4,0,1,0
"17",17,17,17,17,19468,0,"Miramar Hotel by Windsor"," Copacabana",2.07944154167984,0,5,7.65586401761606,4.64439089914137,0,0,0,9.2,0,0,1
"18",18,18,18,18,252003,0,"Mirador Rio Copacabana Hotel"," Copacabana",1.94591014905531,0.8,4,7.66387725870347,3.63758615972639,1,1,0,8.6,0,0,1
"19",19,19,19,19,1267507,0,"Hotel Fasano Rio de Janeiro"," Ipanema",2.19722457733622,0,5,5.87493073085203,4.93439702826822,0,0,0,9,0,0,1
"20",20,20,20,20,11825,0,"Fairmont Rio de Janeiro Copacabana"," Copacabana",2.19722457733622,0,5,5.92157841964382,5.30826769740121,0,0,0,9,0,0,1
"21",21,21,21,21,1790770,0,"Casa Nova Hotel"," Centro do Rio de Janeiro",0.470003629245736,2,4,8.30967689598773,3.2188758248682,1,1,0,8.4,1,0,0
"22",22,22,22,22,2254255,0,"Ibis Budget RJ Copacabana"," Copacabana",2.07944154167984,0.45,2,7.92732436030979,3.25809653802148,0,0,0,8.4,0,0,1
"23",23,23,23,23,49770,0,"Sheraton Grand Rio Hotel & Resort"," Leblon",2.39789527279837,0,5,7.20266119652324,4.89034912822175,0,1,0,8.6,0,0,1
"24",24,24,24,24,189034,0,"Sol Ipanema Hotel"," Ipanema",2.19722457733622,0,4,7.20711885620776,4.47733681447821,1,1,0,8.4,0,0,1
"25",25,25,25,25,15744,0,"Real Palace Hotel"," Copacabana",1.94591014905531,0.85,4,7.67508185771633,3.49650756146648,1,1,0,8.1,0,0,1
"26",26,26,26,26,1796621,1,"Ritz Copacabana Boutique Hotel"," Copacabana",2.07944154167984,0.4,4,7.23489842031483,4.0943445622221,1,1,0,8.8,0,0,1
"27",27,27,27,27,1380312,1,"Prodigy Santos Dumont"," Centro do Rio de Janeiro",0.693147180559945,1.6,4,7.94200680848986,4.31748811353631,1,1,1,8.5,1,0,0
"28",28,28,28,28,2004354,1,"Emiliano Rio"," Copacabana",2.19722457733622,0,5,5.41610040220442,4.93439702826822,0,0,0,9.3,0,0,1
"29",29,29,29,29,1176769,1,"Vila Galé Rio de Janeiro"," Centro do Rio de Janeiro",0.470003629245736,2.1,4,7.91534816926308,3.95124371858143,1,1,0,8.8,1,0,0
"30",30,30,30,30,718131,1,"Ibis Rio de Janeiro Santos Dumont"," Centro do Rio de Janeiro",0.262364264467491,2.2,3,7.68937110752969,3.52636052461616,0,0,0,8.1,1,0,0
"31",31,31,31,31,14715,1,"Hotel Vermont Ipanema"," Ipanema",2.19722457733622,0.4,3,7.33693691370762,3.73766961828337,1,1,0,8.4,0,0,1
"32",32,32,32,32,1296122,1,"Américas Barra Hotel"," Barra da Tijuca",3.25809653802148,1.8,4,8.65486599654131,3.66356164612965,1,1,0,7.7,0,1,0
"33",33,33,33,33,19293,1,"Windsor Barra Hotel"," Barra da Tijuca",2.94443897916644,0,5,7.67925142595306,4.54329478227,1,1,0,8.8,0,1,0
"34",34,34,34,34,97415,1,"Windsor California Hotel"," Copacabana",2.07944154167984,0,4,7.79975331828725,4.39444915467244,0,0,0,9.2,0,0,1
"35",35,35,35,35,246421,1,"Hotel Arpoador"," Ipanema",2.19722457733622,0,4,6.71659477352098,4.77068462446567,1,1,1,9.1,0,0,1
"36",36,36,36,36,1709001,1,"Ramada Encore by Wyndham Rio de Janeiro Ribalta"," Barra da Tijuca",3.25809653802148,2.1,3,8.08764028777898,3.55534806148941,1,1,0,8.2,0,1,0
"37",37,37,37,37,1891329,1,"Hotel Atlântico Travel Copacabana"," Copacabana",1.94591014905531,0.6,4,8.72761617832107,3.25809653802148,1,1,1,8,0,0,1
