"","Ticker","Report.Date","Currency","Revenue","Cost.of.Revenue","Gross.Profit","Operating.Expenses","Selling..General...Administrative","Research...Development","Depreciation...Amortization.x","Operating.Income..Loss.","Non.Operating.Income..Loss.","Interest.Expense..Net","Pretax.Income..Loss...Adj.","Abnormal.Gains..Losses.","Pretax.Income..Loss.","Income.Tax..Expense..Benefit..Net","Income..Loss..from.Continuing.Operations","Net.Extraordinary.Gains..Losses.","Net.Income","Net.Income..Common.","Net.Income.Starting.Line","Non.Cash.Items","Change.in.Working.Capital","Change.in.Accounts.Receivable","Change.in.Inventories","Change.in.Accounts.Payable","Change.in.Other","Net.Cash.from.Operating.Activities","Change.in.Fixed.Assets...Intangibles","Net.Change.in.Long.Term.Investment","Net.Cash.from.Acquisitions...Divestitures","Net.Cash.from.Investing.Activities","Dividends.Paid","Cash.from..Repayment.of..Debt","Cash.from..Repurchase.of..Equity","Net.Cash.from.Financing.Activities","Net.Change.in.Cash","SimFinId","Fiscal.Year","Fiscal.Period","Publish.Date","Restated.Date","Shares..Basic.","Shares..Diluted.","Cash..Cash.Equivalents...Short.Term.Investments","Accounts...Notes.Receivable","Inventories","Total.Current.Assets","Property..Plant...Equipment..Net","Long.Term.Investments...Receivables","Other.Long.Term.Assets","Total.Noncurrent.Assets","Total.Assets","Payables...Accruals","Short.Term.Debt","Total.Current.Liabilities","Long.Term.Debt","Total.Noncurrent.Liabilities","Total.Liabilities","Share.Capital...Additional.Paid.In.Capital","Treasury.Stock","Retained.Earnings","Total.Equity","Total.Liabilities...Equity","Company.Name","IndustryId"
"11","A","2018-10-31","USD",4.914e+09,-2.227e+09,2.687e+09,-1.759e+09,-1.374e+09,-3.85e+08,NA,9.28e+08,1.8e+07,-3.7e+07,9.46e+08,NA,9.46e+08,-6.3e+08,3.16e+08,NA,3.16e+08,3.16e+08,3.16e+08,6.42e+08,-8.1e+07,-6.5e+07,-8.3e+07,4e+07,2.7e+07,1.087e+09,-1.76e+08,0,-5.16e+08,-7.04e+08,-1.91e+08,-2.1e+08,-3.66e+08,-7.97e+08,-4.31e+08,45846,2018,"Q4","2018-12-20","2018-12-20",3.19e+08,3.27e+08,2.247e+09,7.76e+08,6.38e+08,3.848e+09,8.22e+08,6.8e+07,3.803e+09,4.693e+09,8.541e+09,3.4e+08,0,1.171e+09,1.799e+09,2.799e+09,3.97e+09,5.311e+09,NA,-3.36e+08,4.571e+09,8.541e+09,"AGILENT TECHNOLOGIES INC",106001
"16","AA","2018-12-31","USD",1.3403e+10,-1.0081e+10,3.322e+09,-1.012e+09,-2.48e+08,-3.1e+07,-7.33e+08,2.31e+09,-1.86e+08,-1.22e+08,2.124e+09,-5.27e+08,1.597e+09,-7.26e+08,8.71e+08,NA,2.27e+08,2.27e+08,8.71e+08,-3.62e+08,-7.94e+08,NA,NA,NA,NA,4.48e+08,-3.99e+08,-7e+06,1e+06,-4.05e+08,NA,4.25e+08,-2.7e+07,-2.88e+08,-2.49e+08,367153,2018,"Q4","2019-02-26","2019-02-26",1.86e+08,1.93e+08,1.113e+09,8.3e+08,1.644e+09,4.134e+09,8.327e+09,1.36e+09,2.117e+09,1.1804e+10,1.5938e+10,2.489e+09,1e+06,2.919e+09,1.801e+09,5.625e+09,8.544e+09,9.613e+09,NA,3.41e+08,7.394e+09,1.5938e+10,"Alcoa Corp",110004
"27","AAL","2018-12-31","USD",4.4541e+10,-3.2651e+10,1.189e+10,-9.234e+09,-1.52e+09,NA,-1.839e+09,2.656e+09,-7.72e+08,-9.38e+08,1.884e+09,NA,1.884e+09,-4.72e+08,1.412e+09,NA,1.412e+09,1.412e+09,1.412e+09,5.28e+08,-5.66e+08,NA,NA,NA,NA,3.533e+09,-2.331e+09,NA,0,-1.973e+09,-1.86e+08,2.354e+09,-8.37e+08,-1.672e+09,-1.12e+08,68568,2018,"Q4","2019-02-25","2019-02-25",460588000,461917000,4.76e+09,1.706e+09,1.522e+09,8.637e+09,3.4098e+10,NA,1.7845e+10,5.1943e+10,6.058e+10,5.542e+09,3.294e+09,1.8096e+10,2.1179e+10,4.2653e+10,6.0749e+10,4.969e+09,NA,1.36e+08,-1.69e+08,6.058e+10,"American Airlines Group Inc.",100006
"33","AAMC","2018-12-31","USD",15926000,-17320000,-1394000,-5214000,-3609000,NA,NA,-6608000,1191000,NA,-5417000,-5084000,-10501000,-375000,-10876000,NA,-10876000,-11082000,-10876000,9550000,-1536000,NA,NA,NA,NA,-2426000,-148000,612000,NA,-107000,NA,0,-3624000,-3645000,-6178000,847094,2018,"Q4","2019-02-27","2019-05-08",1616003,1616003,41937000,NA,NA,45905000,NA,NA,3462000,3462000,49367000,6771000,NA,6771000,NA,0,6771000,42274000,-275988000,26558000,42596000,49367000,"Altisource Asset Management Corp",104001
"43","AAN","2018-12-31","USD",3828923000,-1921903000,1907020000,-1616307000,NA,NA,NA,290713000,-17306000,-15986000,273407000,-21203000,252204000,-55994000,196210000,NA,196210000,196210000,196210000,385790000,-2047556000,NA,NA,NA,NA,356498000,-69654000,NA,-188959000,-263133000,-6243000,55917000,-160760000,-128968000,-35759000,441241,2018,"Q4","2019-02-14","2019-02-14",67943000,69394000,15278000,174312000,1318470000,1537208000,229492000,0,1059992000,1289484000,2826692000,293153000,NA,560653000,424752000,505331000,1065984000,324298000,-567847000,2005344000,1760708000,2826692000,"AARON'S INC",100007
"50","AAOI","2018-12-31","USD",267465000,-179692000,87773000,-98541000,-48638000,-49903000,NA,-10768000,990000,-824000,-9778000,NA,-9778000,7632000,-2146000,NA,-2146000,-2146000,-2146000,8823000,-22346000,NA,NA,NA,NA,14029000,-71633000,NA,NA,-76514000,NA,38820000,120000,34803000,-25944000,671827,2018,"Q4","2019-02-26","2019-05-09",19798549,18812687,55646000,30534000,93256000,194275000,234211000,NA,38354000,272565000,466840000,49201000,23589000,77418000,60328000,60328000,137746000,292500000,NA,35992000,329094000,466840000,"APPLIED OPTOELECTRONICS, INC.",101004
"59","AAON","2018-12-31","USD",433947000,-330414000,103533000,-47755000,-47755000,NA,NA,55778000,149000,196000,55927000,12000,55939000,-13367000,42572000,NA,42572000,42572000,42572000,10578000,-15949000,NA,NA,NA,NA,54856000,-37255000,5569000,-6377000,-34635000,-16728000,0,-21859000,-39684000,-19463000,919501,2018,"Q4","2019-02-28","2019-05-02",52081924,52416205,1994000,54078000,77612000,140861000,163003000,NA,4333000,167336000,308197000,48071000,NA,48071000,NA,12627000,60698000,208000,NA,247291000,247499000,308197000,"AAON INC",100001
"69","AAP","2018-12-31","USD",9580554000,-5361141000,4219413000,-3615138000,-3615138000,NA,NA,604275000,-49011000,-56588000,555264000,NA,555264000,-131417000,423847000,NA,423847000,423847000,423847000,61867000,87130000,NA,NA,NA,NA,811028000,-191827000,NA,NA,-191827000,-17819000,32014000,-278154000,-263915000,349590000,184955,2018,"Q4","2019-02-13","2020-02-18",72990000,73328000,896527000,624972000,4362547000,6082454000,1368985000,NA,1589209000,2958194000,9040648000,3795931000,NA,3885950000,1045720000,1603885000,5489835000,694805000,-425954000,3326155000,3550813000,9040648000,"ADVANCE AUTO PARTS INC",103002
"88","AAPL","2018-09-30","USD",2.65595e+11,-1.63756e+11,1.01839e+11,-3.0941e+10,-1.6705e+10,-1.4236e+10,NA,7.0898e+10,2.005e+09,NA,7.2903e+10,NA,7.2903e+10,-1.3372e+10,5.9531e+10,NA,5.9531e+10,5.9531e+10,5.9531e+10,-2.725e+10,3.425e+10,NA,NA,NA,NA,7.7434e+10,-1.3313e+10,3.0845e+10,-7.21e+08,1.6066e+10,-1.3712e+10,4.32e+08,-7.2069e+10,-8.7876e+10,5.624e+09,111052,2018,"Q4","2018-10-30","2019-10-31",19206348000,19390188000,6.6301e+10,2.3186e+10,3.956e+09,1.31339e+11,4.1304e+10,1.70799e+11,2.2283e+10,2.34386e+11,3.65725e+11,5.5888e+10,2.0748e+10,1.15929e+11,9.3735e+10,1.42649e+11,2.58578e+11,4.0201e+10,NA,7.04e+10,1.07147e+11,3.65725e+11,"APPLE INC",101001
"98","AAWW","2018-12-31","USD",2677724000,-1362989000,1314735000,-579380000,NA,NA,-217340000,735355000,-97282000,-112668000,638073000,-328699000,309374000,-38727000,270647000,-80000,270567000,270567000,270567000,-51731000,-58809000,NA,NA,NA,NA,425580000,-114415000,13604000,0,-701262000,NA,221610000,-10769000,216559000,-59123000,762204,2018,"Q4","2019-02-19","2019-02-19",25592000,32856000,237125000,269320000,NA,629831000,4462235000,635000,442091000,4904961000,5534792000,552898000,264835000,817733000,2205005000,2649095000,3466828000,736341000,-204501000,1539956000,2067964000,5534792000,"ATLAS AIR WORLDWIDE HOLDINGS INC",100010
